일자,시가,고가,저가,종가,거래량,변화량
20201230,285000,293000,284000,292500,1190327,0.0
20201229,281500,285000,280500,283000,506090,0.03356890459363958
20201228,282000,282500,280000,281000,537848,0.0071174377224199285
20201224,284500,284500,280000,282000,453095,-0.0035460992907801418
20201223,288500,289000,283000,284000,508019,-0.007042253521126761
20201222,285000,293500,284000,284000,750095,0.0
20201221,284000,285500,280000,284000,473545,0.0
20201218,284000,285500,282000,282500,487305,0.005309734513274336
20201217,286000,287000,282000,285000,522344,-0.008771929824561403
20201216,286500,287000,283000,285500,381896,-0.0017513134851138354
20201215,286500,287500,282500,283000,491995,0.0088339222614841
20201214,292500,294000,286000,286000,555272,-0.01048951048951049
20201211,288000,291500,287500,290000,503588,-0.013793103448275862
20201210,288000,290000,284500,286000,959427,0.013986013986013986
20201209,285500,289000,285000,288000,533304,-0.006944444444444444
20201208,291500,291500,285000,285000,566981,0.010526315789473684
20201207,300000,300500,288000,289500,821860,-0.015544041450777202
20201204,287500,295500,284500,294000,1174932,-0.015306122448979591
20201203,285000,287000,283500,287000,740985,0.024390243902439025
20201202,287000,287000,282000,283500,601596,0.012345679012345678
20201201,282000,286000,280000,285500,709278,-0.0070052539404553416
20201130,286000,286500,277500,277500,1176272,0.02882882882882883
20201127,287000,287500,283000,284500,417510,-0.02460456942003515
20201126,280000,285500,280000,285500,797094,-0.0035026269702276708
20201125,287000,287000,278500,278500,909937,0.025134649910233394
20201124,281500,287000,280000,282500,809745,-0.01415929203539823
20201123,282000,282500,278500,281500,565213,0.003552397868561279
20201120,281500,283500,278500,281000,439077,0.0017793594306049821
20201119,282500,284000,279500,280500,520114,0.0017825311942959
20201118,274500,283500,274000,281000,912899,-0.0017793594306049821
20201117,277500,278000,273500,275000,816320,0.02181818181818182
20201116,282500,283000,277500,278000,887878,-0.01079136690647482
20201113,277500,282000,277500,281000,710865,-0.010676156583629894
20201112,283000,285500,279000,279000,1016673,0.007168458781362007
20201111,281000,283000,277500,280000,1183499,-0.0035714285714285713
20201110,287000,288000,282000,283000,1728995,-0.01060070671378092
20201109,304000,304500,298000,298000,678531,-0.050335570469798654
20201106,303000,307000,299000,301000,968971,-0.009966777408637873
20201105,295000,302000,291500,299000,1082388,0.006688963210702341
20201104,282500,300500,282000,298500,1623712,0.0016750418760469012
20201103,284000,287000,280000,283000,1066923,0.054770318021201414
20201102,292000,293000,285500,285500,503831,-0.008756567425569177
20201030,299000,300000,290000,290000,939833,-0.015517241379310345
20201029,297000,301000,294500,298500,785050,-0.02847571189279732
20201028,282000,298500,281500,298500,698195,0.0
20201027,281500,288500,280500,283500,2071432,0.05291005291005291
20201026,286500,289000,281500,281500,349163,0.007104795737122558
20201023,295500,295500,286000,286500,451654,-0.017452006980802792
20201022,295000,296000,292000,293000,416425,-0.02218430034129693
20201021,292500,301000,291000,297500,640501,-0.015126050420168067
20201020,286500,291000,281000,290000,535870,0.02586206896551724
20201019,293500,296500,286000,286000,434420,0.013986013986013986
20201016,292500,297500,291500,293500,446832,-0.02555366269165247
20201015,300500,300500,291000,292500,624097,0.003418803418803419
20201014,295000,301000,293000,298500,759464,-0.020100502512562814
20201013,292000,298000,292000,295000,636487,0.011864406779661017
20201012,303000,303000,291500,292000,914860,0.010273972602739725
20201008,307500,307500,300000,301000,756735,-0.029900332225913623
20201007,302000,305000,299500,305000,534644,-0.013114754098360656
20201006,299500,307500,296500,305000,868540,0.0
20201005,297500,299000,289500,298500,906516,0.021775544388609715
20200929,303000,303000,294000,296500,765489,0.006745362563237774
20200928,297000,302000,296000,298500,724465,-0.006700167504187605
20200925,296000,297500,289500,295000,648182,0.011864406779661017
20200924,291500,295500,287000,294000,848971,0.003401360544217687
20200923,290000,298000,285500,296500,984136,-0.008431703204047217
20200922,290500,295000,282000,284500,864846,0.0421792618629174
20200921,297000,301500,292000,292000,656024,-0.025684931506849314
20200918,299500,302000,296000,298000,750488,-0.020134228187919462
20200917,302500,304000,299000,300500,823516,-0.008319467554076539
20200916,311500,312000,306000,307000,696219,-0.021172638436482084
20200915,304000,314000,303000,312000,797985,-0.016025641025641024
20200914,307500,308000,300000,303000,608816,0.0297029702970297
20200911,302500,307000,301000,306000,517023,-0.00980392156862745
20200910,309000,311000,305000,307500,834946,-0.004878048780487805
20200909,303000,307000,300000,304500,925825,0.009852216748768473
20200908,316000,318000,305500,311000,989171,-0.02090032154340836
20200907,325500,325500,313500,314500,1308247,-0.011128775834658187
20200904,322500,335000,322000,328500,1174337,-0.0426179604261796
20200903,333500,339500,329500,339000,776547,-0.030973451327433628
20200902,332500,335500,327000,332500,808064,0.019548872180451128
20200901,322500,329500,322000,324500,691864,0.02465331278890601
20200831,336500,340000,322000,322500,1528978,0.006201550387596899
20200828,337000,338500,329500,333000,969408,-0.03153153153153153
20200827,337000,347000,336500,337000,1232239,-0.011869436201780416
20200826,321500,338500,321000,334000,1155853,0.008982035928143712
20200825,323000,325000,317000,325000,897649,0.027692307692307693
20200824,313000,320000,310000,320000,783392,0.015625
20200821,311500,314500,308000,312500,781961,0.024
20200820,315000,319000,302500,305500,1186809,0.022913256955810146
20200819,311500,316000,305500,315000,941038,-0.03015873015873016
20200818,307500,317500,305000,307500,1494966,0.024390243902439025
20200814,305000,308500,303000,305000,608156,0.00819672131147541
20200813,310000,311500,304000,307000,1406370,-0.006514657980456026
20200812,308000,311000,303500,305000,856711,0.006557377049180328
20200811,311000,314500,307500,311500,665863,-0.02086677367576244
20200810,308500,314500,303500,313500,968592,-0.006379585326953748
20200807,324500,325500,312000,314000,1063254,-0.0015923566878980893
20200806,313000,322000,310500,322000,1032045,-0.024844720496894408
20200805,312000,314500,306500,313500,809939,0.02711323763955343
20200804,317500,322000,307500,311000,1330818,0.008038585209003215
20200803,301500,314500,299000,314500,1341104,-0.011128775834658187
20200731,299000,303000,296500,301000,1567503,0.044850498338870434
20200730,296000,297500,291000,294000,1150474,0.023809523809523808
20200729,286000,292000,283000,292000,964066,0.00684931506849315
20200728,289500,292000,284000,288000,978238,0.013888888888888888
20200727,281000,287500,276500,284500,691075,0.012302284710017574
20200724,281000,290500,278500,281000,1233584,0.012455516014234875
20200723,272000,284000,271000,284000,1396607,-0.01056338028169014
20200722,264000,272500,261500,270000,905784,0.05185185185185185
20200721,273000,273500,269000,270000,1179638,0.0
20200720,276500,278000,260500,263000,1556415,0.026615969581749048
20200717,270000,279500,266000,276000,926932,-0.04710144927536232
20200716,283000,285000,272000,273000,1338814,0.01098901098901099
20200715,290500,293000,280500,286500,1276196,-0.04712041884816754
20200714,290000,291000,285000,287000,1360849,-0.0017421602787456446
20200713,303500,303500,288000,297000,1254800,-0.03367003367003367
20200710,291500,308500,290000,299000,2120904,-0.006688963210702341
20200709,286500,296500,284500,287500,2006662,0.04
20200708,280000,284500,274000,282500,1353345,0.017699115044247787
20200707,285000,289500,279000,279500,1365047,0.01073345259391771
20200706,278000,287500,278000,281500,1211636,-0.007104795737122558
20200703,276500,280500,274500,277500,971940,0.014414414414414415
20200702,274000,277000,271000,277000,1015829,0.0018050541516245488
20200701,270000,275000,266000,269000,655711,0.02973977695167286
20200630,268000,270500,263000,267000,862860,0.00749063670411985
20200629,265000,270500,261000,264000,814814,0.011363636363636364
20200626,274500,275000,263000,269000,937593,-0.01858736059479554
20200625,273500,276500,269500,269500,1196267,-0.0018552875695732839
20200624,273500,279500,270500,279000,995065,-0.034050179211469536
20200623,272000,289000,270500,276000,2104075,0.010869565217391304
20200622,249500,271500,247500,270000,1841479,0.022222222222222223
20200619,250000,250000,244000,249500,919945,0.08216432865731463
20200618,251500,254000,247000,247500,744330,0.00808080808080808
20200617,244000,252000,243500,251000,1357900,-0.013944223107569721
20200616,239000,243500,236000,243500,1155474,0.030800821355236138
20200615,240000,244500,230500,231500,1311773,0.05183585313174946
20200612,229000,242500,228500,242000,1318334,-0.04338842975206612
20200611,244000,249000,239000,240500,1423978,0.006237006237006237
20200610,241000,247500,240000,244000,1431071,-0.014344262295081968
20200609,240000,243000,235500,237500,934440,0.02736842105263158
20200608,234500,242000,231000,240500,1624752,-0.012474012474012475
20200605,229000,231000,225000,231000,1061922,0.04112554112554113
20200604,228000,235000,227000,232500,1052789,-0.0064516129032258064
20200603,235000,235500,225000,225500,1476614,0.031042128603104215
20200602,235000,236000,232000,234000,689584,-0.03632478632478633
20200601,233500,237000,230000,237000,1140644,-0.012658227848101266
20200529,240000,243000,226000,226000,3114298,0.048672566371681415
20200528,226000,241000,222000,240500,1625154,-0.060291060291060294
20200527,231000,234500,226500,228500,1351505,0.0525164113785558
20200526,244000,246000,230000,239000,1568016,-0.043933054393305436
20200525,234500,241000,234000,241000,1015069,-0.008298755186721992
20200522,227000,232500,222500,230500,1108281,0.0455531453362256
20200521,227500,233500,222500,225000,1004395,0.024444444444444446
20200520,215500,225500,215000,222000,977544,0.013513513513513514
20200519,215000,216500,210500,213500,917603,0.03981264637002342
20200518,215000,218000,211500,215000,638906,-0.0069767441860465115
20200515,219000,219500,209500,213000,1050469,0.009389671361502348
20200514,214500,222000,214500,219000,866427,-0.0273972602739726
20200513,217500,222500,213500,218500,1014692,0.002288329519450801
20200512,218000,226500,215000,219500,1056584,-0.004555808656036446
20200511,214500,221000,214000,214500,599328,0.023310023310023312
20200508,216000,218500,212000,214000,732394,0.002336448598130841
20200507,211500,220000,210500,215500,984024,-0.0069605568445475635
20200506,201500,212500,200500,212000,992225,0.01650943396226415
20200504,198500,203000,193500,199000,1104027,0.06532663316582915
20200429,199500,200000,196500,197500,676743,0.007594936708860759
20200428,197500,198000,194500,198000,433549,-0.0025252525252525255
20200427,193000,200000,192500,197500,927347,0.002531645569620253
20200424,189000,197500,189000,192500,928695,0.025974025974025976
20200423,190000,196000,186500,190000,1521478,0.013157894736842105
20200422,175000,182500,173000,182000,611589,0.04395604395604396
20200421,180500,181500,173500,178500,759150,0.0196078431372549
20200420,181000,182000,179000,180000,663723,-0.008333333333333333
20200417,175500,180000,173500,179000,900031,0.00558659217877095
20200416,168000,172500,167500,170500,841066,0.04985337243401759
20200414,168000,170000,166500,168500,520725,0.011869436201780416
20200413,164500,168000,162500,166000,413768,0.015060240963855422
20200410,166000,167000,164000,166500,483720,-0.003003003003003003
20200409,168500,169000,165000,167500,682921,-0.005970149253731343
20200408,169000,169500,166500,166500,588577,0.006006006006006006
20200407,174000,174500,167500,169500,873091,-0.017699115044247787
20200406,173500,176000,170500,173000,655547,-0.02023121387283237
20200403,170000,172500,168000,172000,663454,0.005813953488372093
20200402,166500,175000,164500,173500,1086863,-0.008645533141210375
20200401,166500,171000,163000,163000,720283,0.06441717791411043
20200331,163500,171000,163500,170000,858165,-0.041176470588235294
20200330,160000,165000,159000,162500,630830,0.046153846153846156
20200327,161500,164500,158500,164000,1217815,-0.009146341463414634
20200326,156000,158000,149500,152500,988725,0.07540983606557378
20200325,160500,163000,152000,156000,1039579,-0.022435897435897436
20200324,151500,157000,148000,156000,960786,0.0
20200323,141500,149500,140000,143000,1033851,0.09090909090909091
20200320,147500,156500,146000,154000,997895,-0.07142857142857142
20200319,150000,151500,135000,144000,1154230,0.06944444444444445
20200318,152500,156000,146000,146000,666723,-0.0136986301369863
20200317,147500,155500,147000,151000,979243,-0.033112582781456956
20200316,166000,166500,155000,155000,812823,-0.025806451612903226
20200313,151000,168000,149500,166000,1242510,-0.06626506024096386
20200312,170000,170000,161000,166500,980814,-0.003003003003003003
20200311,172000,174000,167500,170000,483822,-0.020588235294117647
20200310,168000,176000,165000,172000,666532,-0.011627906976744186
20200309,174500,174500,167500,168000,668089,0.023809523809523808
20200306,179500,181000,177500,179500,293897,-0.06406685236768803
20200305,180500,181000,178500,181000,483840,-0.008287292817679558
20200304,174500,179500,173000,178500,450252,0.014005602240896359
20200303,179000,180000,174000,175000,544379,0.02
20200302,175000,177000,172500,175000,659376,0.0
20200228,179000,180000,172000,174000,830654,0.005747126436781609
20200227,185000,187000,179000,182000,535696,-0.04395604395604396
20200226,189500,190000,186500,187000,494066,-0.026737967914438502
20200225,184000,191000,183500,190500,704859,-0.01837270341207349
20200224,185500,187500,183500,184000,567036,0.035326086956521736
20200221,187500,191000,187000,189500,434019,-0.029023746701846966
20200220,189500,191500,187500,190000,427402,-0.002631578947368421
20200219,188000,191000,185000,189500,560743,0.002638522427440633
20200218,186500,188500,185500,186500,345642,0.0160857908847185
20200217,184500,189000,184500,188500,312407,-0.010610079575596816
20200214,184000,187500,184000,186500,659429,0.010723860589812333
20200213,184000,185000,183000,184500,555923,0.01084010840108401
20200212,183000,185000,181500,185000,351892,-0.002702702702702703
20200211,183500,185000,183000,184500,400386,0.0027100271002710027
20200210,182500,184000,180500,183500,433051,0.005449591280653951
20200207,181500,188500,181000,185000,728633,-0.008108108108108109
20200206,182500,183500,180500,181500,659850,0.01928374655647383
20200205,181000,183500,178500,181500,653809,0.0
20200204,177500,181500,175000,180500,563463,0.00554016620498615
20200203,178000,180500,176000,177500,485913,0.016901408450704224
20200131,180000,180500,177500,179500,537062,-0.011142061281337047
20200130,179500,183000,175000,180000,772160,-0.002777777777777778
20200129,183000,183500,180000,180000,434897,0.0
20200128,182000,184500,178000,178500,476253,0.008403361344537815
20200123,185000,185500,181500,183000,375929,-0.02459016393442623
20200122,185000,190000,184500,186000,429852,-0.016129032258064516
20200121,187500,189500,181000,182000,547678,0.02197802197802198
20200120,190000,190500,187000,187500,454733,-0.029333333333333333
20200117,190500,192500,189500,191000,286019,-0.01832460732984293
20200116,190000,192500,189000,191500,245107,-0.0026109660574412533
20200115,189500,192000,188500,191500,323778,0.0
20200114,188000,194500,188000,190500,501286,0.005249343832020997
20200113,187500,188500,186000,188000,337749,0.013297872340425532
20200110,185000,188000,184000,188000,398739,0.0
20200109,183500,186500,183500,186000,531355,0.010752688172043012
20200108,182000,183500,179000,183000,820867,0.01639344262295082
20200107,182500,187000,181500,187000,328624,-0.0213903743315508
20200106,180000,182000,178000,180500,287970,0.036011080332409975
20200103,185000,186000,180500,181500,454492,-0.005509641873278237
20200102,187500,188000,182000,182500,300640,-0.005479452054794521
20191230,183500,190000,183500,186500,376541,-0.021447721179624665
20191227,182000,185000,179000,183500,323473,0.01634877384196185
20191226,181500,183000,179000,180500,173426,0.01662049861495845
20191224,184000,184000,179000,182000,193440,-0.008241758241758242
20191223,185000,185500,182000,184000,250256,-0.010869565217391304
20191220,180000,187000,179500,183500,560761,0.0027247956403269754
20191219,175000,179500,175000,179000,296857,0.025139664804469275
20191218,180000,180000,175000,178500,310567,0.0028011204481792717
20191217,180000,181000,178000,180500,370752,-0.0110803324099723
20191216,175000,180000,174000,179500,335819,0.005571030640668524
20191213,177500,177500,173000,175500,317833,0.022792022792022793
20191212,174500,176500,173000,175500,609714,0.0
20191211,175000,175500,173500,174000,200711,0.008620689655172414
20191210,174500,175500,173000,174500,215711,-0.0028653295128939827
20191209,174000,175500,173000,175000,271990,-0.002857142857142857
20191206,172000,174500,170500,174000,208849,0.005747126436781609
20191205,173000,174000,170000,170500,271499,0.020527859237536656
20191204,172000,175500,171000,174500,228851,-0.022922636103151862
20191203,170500,173500,168500,172000,245675,0.014534883720930232
20191202,172500,175000,170000,171500,275601,0.0029154518950437317
20191129,173000,173500,168500,172000,349615,-0.0029069767441860465
20191128,172500,174500,170000,173000,252885,-0.005780346820809248
20191127,175000,175500,172000,172500,299949,0.002898550724637681
20191126,173500,175500,171500,173000,774461,-0.002890173410404624
20191125,168000,174500,167000,174000,490795,-0.005747126436781609
20191122,169500,171000,165500,167500,481529,0.03880597014925373
20191121,169000,172500,168000,170000,543754,-0.014705882352941176
20191120,170500,174000,168000,169500,602206,0.0029498525073746312
20191119,174500,176000,169500,170500,1055749,-0.005865102639296188
20191118,177500,181500,172500,178500,876975,-0.04481792717086835
20191115,177000,179000,173000,173500,886846,0.02881844380403458
20191114,170000,180000,169500,180000,2042648,-0.03611111111111111
20191113,158500,159000,156000,158000,500221,0.13924050632911392
20191112,164000,164000,160000,162000,236652,-0.024691358024691357
20191111,163500,165000,162500,163000,231149,-0.006134969325153374
20191108,165000,165000,162000,163500,306968,-0.0030581039755351682
20191107,162000,166500,161000,165500,390866,-0.012084592145015106
20191106,161500,164000,160500,161500,332755,0.02476780185758514
20191105,164000,164500,159500,161500,662116,0.0
20191104,165500,167000,162000,164500,455199,-0.0182370820668693
20191101,166000,168500,164000,167000,720358,-0.014970059880239521
20191031,159000,167000,157500,164000,1409619,0.018292682926829267
20191030,152000,154500,151500,154500,290658,0.061488673139158574
20191029,157500,158000,152000,153000,321007,0.00980392156862745
20191028,152500,158000,152500,157000,335238,-0.025477707006369428
20191025,151000,153500,151000,152500,162510,0.029508196721311476
20191024,151500,153000,150500,153000,224666,-0.0032679738562091504
20191023,152000,153500,151500,152500,226744,0.003278688524590164
20191022,150500,154500,150500,154000,360102,-0.00974025974025974
20191021,151500,153500,149000,152000,245735,0.013157894736842105
20191018,151500,153500,150000,150500,245740,0.009966777408637873
20191017,155000,156500,152000,153000,280276,-0.016339869281045753
20191016,151500,155000,151000,154500,280882,-0.009708737864077669
20191015,156500,156500,150500,151500,297569,0.019801980198019802
20191014,156000,156500,153500,156000,246407,-0.028846153846153848
20191011,156500,157000,153500,156000,216730,0.0
20191010,151500,155500,150500,153500,404228,0.016286644951140065
20191008,154500,154500,151500,153500,250805,0.0
20191007,150500,153500,150000,153000,387749,0.0032679738562091504
20191004,155500,159000,148500,150500,602642,0.016611295681063124
20191002,159000,160000,156500,157000,203708,-0.041401273885350316
20191001,157500,160000,157000,160000,260668,-0.01875
20190930,155000,157500,154500,157000,313910,0.01910828025477707
20190927,158500,158500,154500,156000,241249,0.00641025641025641
20190926,157500,159000,156500,158000,313084,-0.012658227848101266
20190925,155500,159000,155500,158000,274586,0.0
20190924,157000,158500,155500,158000,195994,0.0
20190923,157500,158000,155500,157000,204570,0.006369426751592357
20190920,156000,158000,156000,157000,390181,0.0
20190919,157000,158000,156000,157500,377446,-0.0031746031746031746
20190918,156000,159500,155500,159000,465208,-0.009433962264150943
20190917,153000,155500,153000,155000,304106,0.025806451612903226
20190916,154500,156500,153500,154500,449618,0.003236245954692557
20190911,150500,154000,150000,153500,738431,0.006514657980456026
20190910,153000,153000,150000,150500,297053,0.019933554817275746
20190909,149500,154000,148500,153000,464232,-0.016339869281045753
20190906,146000,150000,145500,149500,223250,0.023411371237458192
